first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
4,11,22,31,34,35,Tuesday,5,21,21,1.0,-7.347880794884119e-16,-0.8660254037844387,0.49999999999999994,-0.44039415155763423,-0.8978045395707417
7,28,29,30,38,42,Saturday,5,18,20,0.6234898018587329,-0.7818314824680302,-0.8660254037844387,0.49999999999999994,-0.8743466161445822,-0.4853019625310808
3,7,11,13,22,24,Thursday,5,16,20,0.6234898018587329,-0.7818314824680302,-0.8660254037844387,0.49999999999999994,-0.9948693233918952,-0.10116832198743204
3,4,9,35,40,41,Tuesday,5,14,20,0.6234898018587329,-0.7818314824680302,-0.8660254037844387,0.49999999999999994,-0.9541392564000488,0.29936312297335804
1,9,14,20,31,34,Saturday,5,11,19,-0.22252093395631506,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,-0.6121059825476626,0.7907757369376989
2,7,10,22,24,37,Thursday,5,9,19,-0.22252093395631506,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,-0.2506525322587204,0.9680771188662043
1,4,10,15,35,38,Tuesday,5,7,19,-0.22252093395631506,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,0.1514277775045767,0.9884683243281114
8,16,21,25,29,32,Saturday,5,4,18,-0.9009688679024194,-0.43388373911755757,-0.8660254037844387,0.49999999999999994,0.6889669190756866,0.72479278722912
2,5,12,16,18,28,Thursday,5,2,18,-0.9009688679024194,-0.43388373911755757,-0.8660254037844387,0.49999999999999994,0.9189578116202306,0.39435585511331855
3,20,26,33,36,37,Tuesday,4,30,18,-0.9009688679024194,-0.43388373911755757,-0.4999999999999998,0.8660254037844387,0.9795299412524943,-0.20129852008866114
3,6,14,19,39,40,Saturday,4,27,17,-0.9009688679024196,0.43388373911755707,-0.4999999999999998,0.8660254037844387,0.6889669190756865,-0.72479278722912
2,5,16,20,26,32,Thursday,4,25,17,-0.9009688679024196,0.43388373911755707,-0.4999999999999998,0.8660254037844387,0.3473052528448203,-0.9377521321470804
13,14,30,33,37,39,Tuesday,4,23,17,-0.9009688679024196,0.43388373911755707,-0.4999999999999998,0.8660254037844387,-0.05064916883871355,-0.9987165071710528
12,15,19,25,31,33,Saturday,4,20,16,-0.22252093395631387,0.9749279121818237,-0.4999999999999998,0.8660254037844387,-0.6121059825476627,-0.7907757369376986
8,16,18,24,31,33,Thursday,4,18,16,-0.22252093395631387,0.9749279121818237,-0.4999999999999998,0.8660254037844387,-0.8743466161445822,-0.4853019625310808
7,12,17,23,26,28,Tuesday,4,16,16,-0.22252093395631387,0.9749279121818237,-0.4999999999999998,0.8660254037844387,-0.9948693233918952,-0.10116832198743204
3,11,18,22,24,39,Saturday,4,13,15,0.6234898018587354,0.7818314824680284,-0.4999999999999998,0.8660254037844387,-0.8743466161445821,0.48530196253108104
